Category: All categories

Week,greta thunberg: (Colorado),climate change: (Colorado)
2018-08-12,0,8
2018-08-19,0,6
2018-08-26,0,5
2018-09-02,0,6
2018-09-09,0,11
2018-09-16,0,10
2018-09-23,0,5
2018-09-30,0,8
2018-10-07,0,19
2018-10-14,0,19
2018-10-21,0,14
2018-10-28,0,16
2018-11-04,0,7
2018-11-11,0,14
2018-11-18,0,7
2018-11-25,0,17
2018-12-02,0,20
2018-12-09,1,13
2018-12-16,1,12
2018-12-23,0,3
2018-12-30,0,4
2019-01-06,0,8
2019-01-13,0,9
2019-01-20,0,12
2019-01-27,0,16
2019-02-03,0,15
2019-02-10,0,19
2019-02-17,1,20
2019-02-24,1,17
2019-03-03,1,10
2019-03-10,2,13
2019-03-17,1,17
2019-03-24,0,10
2019-03-31,1,20
2019-04-07,0,20
2019-04-14,0,20
2019-04-21,0,29
2019-04-28,1,23
2019-05-05,0,29
2019-05-12,0,17
2019-05-19,0,14
2019-05-26,0,8
2019-06-02,2,13
2019-06-09,1,8
2019-06-16,0,6
2019-06-23,0,9
2019-06-30,0,6
2019-07-07,0,6
2019-07-14,0,14
2019-07-21,0,6
2019-07-28,1,13
2019-08-04,0,7
2019-08-11,0,7
2019-08-18,2,8
2019-08-25,6,13
2019-09-01,5,15
2019-09-08,5,13
2019-09-15,13,44
2019-09-22,100,33
2019-09-29,39,25
2019-10-06,40,22
2019-10-13,12,9
2019-10-20,8,5
2019-10-27,8,8
2019-11-03,5,20
2019-11-10,8,12
2019-11-17,12,16
2019-11-24,2,8
2019-12-01,8,24
2019-12-08,52,22
2019-12-15,29,9
2019-12-22,6,9
2019-12-29,7,6
2020-01-05,8,16
2020-01-12,3,16
2020-01-19,5,12
2020-01-26,5,13
2020-02-02,5,12
2020-02-09,4,13
2020-02-16,3,15
2020-02-23,12,16
2020-03-01,16,13
2020-03-08,5,16
2020-03-15,2,6
2020-03-22,3,9
2020-03-29,1,13
2020-04-05,0,10
2020-04-12,3,11
2020-04-19,3,12
2020-04-26,2,19
2020-05-03,1,15
2020-05-10,10,17
2020-05-17,1,7
2020-05-24,3,4
2020-05-31,1,5
2020-06-07,1,4
2020-06-14,1,5
2020-06-21,1,4
2020-06-28,0,4
2020-07-05,1,3
