Category: All categories

Week,greta thunberg: (Nebraska),climate change: (Nebraska)
2019-08-18,4,12
2019-08-25,6,19
2019-09-01,0,11
2019-09-08,0,17
2019-09-15,20,29
2019-09-22,100,47
2019-09-29,24,43
2019-10-06,21,21
2019-10-13,4,10
2019-10-20,4,4
2019-10-27,6,26
2019-11-03,9,19
2019-11-10,11,22
2019-11-17,11,24
2019-11-24,4,10
2019-12-01,13,17
2019-12-08,64,17
2019-12-15,38,23
2019-12-22,4,8
2019-12-29,4,4
2020-01-05,26,11
2020-01-12,11,16
2020-01-19,7,13
2020-01-26,5,13
2020-02-02,7,27
2020-02-09,4,23
2020-02-16,5,14
2020-02-23,7,12
2020-03-01,12,18
2020-03-08,4,9
2020-03-15,3,9
2020-03-22,7,3
2020-03-29,0,20
2020-04-05,3,7
2020-04-12,0,14
2020-04-19,0,3
2020-04-26,7,16
2020-05-03,3,10
2020-05-10,8,7
2020-05-17,12,17
2020-05-24,0,7
2020-05-31,3,0
2020-06-07,4,4
2020-06-14,4,4
2020-06-21,4,4
2020-06-28,0,8
2020-07-05,0,9
