Category: All categories

Week,greta thunberg: (Kentucky),climate change: (Kentucky)
2019-09-22,100,53
2019-09-29,25,16
2019-10-06,22,17
2019-10-13,8,21
2019-10-20,9,21
2019-10-27,8,10
2019-11-03,6,14
2019-11-10,14,16
2019-11-17,10,16
2019-11-24,2,16
2019-12-01,11,19
2019-12-08,41,26
2019-12-15,26,16
2019-12-22,9,4
2019-12-29,8,12
2020-01-05,17,25
2020-01-12,5,31
2020-01-19,19,8
2020-01-26,6,15
2020-02-02,11,15
2020-02-09,2,7
2020-02-16,2,13
2020-02-23,9,18
2020-03-01,16,16
2020-03-08,4,18
2020-03-15,2,3
2020-03-22,7,10
2020-03-29,3,10
2020-04-05,3,17
2020-04-12,3,16
2020-04-19,2,17
2020-04-26,2,14
2020-05-03,3,13
2020-05-10,8,3
2020-05-17,3,2
2020-05-24,2,0
2020-05-31,2,4
2020-06-07,4,4
2020-06-14,4,2
2020-06-21,2,2
2020-06-28,0,6
2020-07-05,0,2
