Category: All categories

Week,greta thunberg: (Rhode Island),climate change: (Rhode Island)
2017-06-04,0,28
2017-06-11,0,21
2017-06-18,0,14
2017-06-25,0,0
2017-07-02,0,8
2017-07-09,0,7
2017-07-16,0,7
2017-07-23,0,14
2017-07-30,0,0
2017-08-06,0,20
2017-08-13,0,0
2017-08-20,0,7
2017-08-27,0,0
2017-09-03,0,13
2017-09-10,0,18
2017-09-17,0,23
2017-09-24,0,0
2017-10-01,0,18
2017-10-08,0,12
2017-10-15,0,6
2017-10-22,0,12
2017-10-29,0,13
2017-11-05,0,13
2017-11-12,0,6
2017-11-19,0,0
2017-11-26,0,26
2017-12-03,0,6
2017-12-10,0,19
2017-12-17,0,28
2017-12-24,0,0
2017-12-31,0,21
2018-01-07,0,40
2018-01-14,0,20
2018-01-21,0,13
2018-01-28,0,19
2018-02-04,0,19
2018-02-11,0,19
2018-02-18,0,20
2018-02-25,0,19
2018-03-04,0,19
2018-03-11,0,7
2018-03-18,0,6
2018-03-25,0,13
2018-04-01,0,25
2018-04-08,0,6
2018-04-15,0,20
2018-04-22,0,19
2018-04-29,0,0
2018-05-06,0,0
2018-05-13,0,0
2018-05-20,0,20
2018-05-27,0,0
2018-06-03,0,35
2018-06-10,0,7
2018-06-17,0,21
2018-06-24,0,21
2018-07-01,0,0
2018-07-08,0,0
2018-07-15,0,14
2018-07-22,0,0
2018-07-29,0,0
2018-08-05,0,0
2018-08-12,0,0
2018-08-19,0,0
2018-08-26,0,7
2018-09-02,0,7
2018-09-09,0,0
2018-09-16,0,13
2018-09-23,0,0
2018-09-30,0,13
2018-10-07,0,27
2018-10-14,0,13
2018-10-21,0,20
2018-10-28,0,13
2018-11-04,0,46
2018-11-11,0,27
2018-11-18,0,0
2018-11-25,0,42
2018-12-02,0,6
2018-12-09,0,26
2018-12-16,0,13
2018-12-23,8,16
2018-12-30,0,7
2019-01-06,0,6
2019-01-13,0,13
2019-01-20,0,6
2019-01-27,0,37
2019-02-03,0,13
2019-02-10,0,13
2019-02-17,0,19
2019-02-24,0,6
2019-03-03,0,31
2019-03-10,0,33
2019-03-17,0,32
2019-03-24,0,13
2019-03-31,0,19
2019-04-07,0,19
2019-04-14,0,20
2019-04-21,6,38
2019-04-28,0,37
2019-05-05,6,26
2019-05-12,0,33
2019-05-19,0,20
2019-05-26,0,53
2019-06-02,0,40
2019-06-09,0,7
2019-06-16,0,7
2019-06-23,0,21
2019-06-30,7,7
2019-07-07,0,0
2019-07-14,0,14
2019-07-21,14,0
2019-07-28,0,7
2019-08-04,7,7
2019-08-11,27,21
2019-08-18,0,7
2019-08-25,13,13
2019-09-01,0,37
2019-09-08,6,23
2019-09-15,23,76
2019-09-22,100,59
2019-09-29,41,47
2019-10-06,6,23
2019-10-13,24,42
2019-10-20,6,41
2019-10-27,0,41
2019-11-03,11,17
2019-11-10,23,23
2019-11-17,6,41
2019-11-24,6,19
2019-12-01,6,22
2019-12-08,63,46
2019-12-15,41,18
2019-12-22,0,14
2019-12-29,6,13
2020-01-05,12,12
2020-01-12,0,34
2020-01-19,6,29
2020-01-26,11,44
2020-02-02,17,22
2020-02-09,11,22
2020-02-16,6,17
2020-02-23,26,11
2020-03-01,16,11
2020-03-08,0,27
2020-03-15,0,11
2020-03-22,10,10
2020-03-29,5,15
2020-04-05,5,0
2020-04-12,0,19
2020-04-19,0,33
2020-04-26,0,28
2020-05-03,0,14
2020-05-10,20,20
2020-05-17,0,24
2020-05-24,0,5
2020-05-31,0,15
2020-06-07,0,5
2020-06-14,0,10
2020-06-21,11,5
2020-06-28,5,0
2020-07-05,0,6
