Category: All categories

Week,greta thunberg: (Dayton OH),climate change: (Dayton OH)
2018-04-29,0,10
2018-05-06,0,10
2018-05-13,0,0
2018-05-20,0,0
2018-05-27,0,11
2018-06-03,0,11
2018-06-10,0,10
2018-06-17,0,10
2018-06-24,0,0
2018-07-01,0,11
2018-07-08,0,0
2018-07-15,0,0
2018-07-22,0,0
2018-07-29,0,0
2018-08-05,0,0
2018-08-12,0,0
2018-08-19,0,10
2018-08-26,0,0
2018-09-02,0,0
2018-09-09,0,19
2018-09-16,0,0
2018-09-23,0,0
2018-09-30,0,0
2018-10-07,0,30
2018-10-14,0,0
2018-10-21,0,20
2018-10-28,0,0
2018-11-04,0,9
2018-11-11,0,10
2018-11-18,0,0
2018-11-25,0,37
2018-12-02,0,9
2018-12-09,0,10
2018-12-16,0,10
2018-12-23,0,0
2018-12-30,0,10
2019-01-06,0,10
2019-01-13,0,9
2019-01-20,0,19
2019-01-27,0,28
2019-02-03,0,0
2019-02-10,0,9
2019-02-17,0,9
2019-02-24,0,9
2019-03-03,0,0
2019-03-10,0,10
2019-03-17,0,19
2019-03-24,0,0
2019-03-31,0,10
2019-04-07,0,19
2019-04-14,0,10
2019-04-21,0,10
2019-04-28,0,0
2019-05-05,0,0
2019-05-12,0,20
2019-05-19,0,30
2019-05-26,0,31
2019-06-02,0,21
2019-06-09,0,10
2019-06-16,0,0
2019-06-23,0,31
2019-06-30,0,0
2019-07-07,0,0
2019-07-14,0,10
2019-07-21,0,0
2019-07-28,0,21
2019-08-04,0,0
2019-08-11,0,0
2019-08-18,0,19
2019-08-25,9,18
2019-09-01,0,18
2019-09-08,9,0
2019-09-15,9,27
2019-09-22,100,55
2019-09-29,44,27
2019-10-06,37,0
2019-10-13,0,9
2019-10-20,9,9
2019-10-27,0,9
2019-11-03,0,9
2019-11-10,9,9
2019-11-17,9,35
2019-11-24,0,9
2019-12-01,26,9
2019-12-08,61,17
2019-12-15,9,0
2019-12-22,10,0
2019-12-29,0,0
2020-01-05,17,17
2020-01-12,0,8
2020-01-19,8,17
2020-01-26,17,8
2020-02-02,8,25
2020-02-09,16,8
2020-02-16,8,24
2020-02-23,31,39
2020-03-01,0,0
2020-03-08,0,8
2020-03-15,0,0
2020-03-22,7,22
2020-03-29,7,7
2020-04-05,0,0
2020-04-12,14,0
2020-04-19,0,14
2020-04-26,0,0
2020-05-03,0,0
2020-05-10,0,14
2020-05-17,0,0
2020-05-24,0,31
2020-05-31,0,0
2020-06-07,0,0
2020-06-14,0,0
2020-06-21,0,0
2020-06-28,0,8
2020-07-05,0,0
